x,y,file1,line1,file2,line2
26,64,unknown file,unknown line,unknown file,unknown line
26,102,unknown file,unknown line,unknown file,unknown line
26,140,unknown file,unknown line,unknown file,unknown line
27,9,unknown file,unknown line,unknown file,unknown line
27,12,unknown file,unknown line,unknown file,unknown line
27,15,unknown file,unknown line,unknown file,unknown line
27,18,unknown file,unknown line,unknown file,unknown line
27,21,unknown file,unknown line,unknown file,unknown line
27,24,unknown file,unknown line,unknown file,unknown line
27,27,unknown file,unknown line,unknown file,unknown line
27,30,unknown file,unknown line,unknown file,unknown line
27,33,unknown file,unknown line,unknown file,unknown line
27,36,unknown file,unknown line,unknown file,unknown line
27,37,unknown file,unknown line,unknown file,unknown line
27,47,unknown file,unknown line,unknown file,unknown line
27,50,unknown file,unknown line,unknown file,unknown line
27,53,unknown file,unknown line,unknown file,unknown line
27,56,unknown file,unknown line,unknown file,unknown line
27,59,unknown file,unknown line,unknown file,unknown line
27,62,unknown file,unknown line,unknown file,unknown line
27,65,unknown file,unknown line,unknown file,unknown line
27,68,unknown file,unknown line,unknown file,unknown line
27,71,unknown file,unknown line,unknown file,unknown line
27,74,unknown file,unknown line,unknown file,unknown line
27,75,unknown file,unknown line,unknown file,unknown line
27,85,unknown file,unknown line,unknown file,unknown line
27,88,unknown file,unknown line,unknown file,unknown line
27,91,unknown file,unknown line,unknown file,unknown line
27,94,unknown file,unknown line,unknown file,unknown line
27,97,unknown file,unknown line,unknown file,unknown line
27,100,unknown file,unknown line,unknown file,unknown line
27,103,unknown file,unknown line,unknown file,unknown line
27,106,unknown file,unknown line,unknown file,unknown line
27,109,unknown file,unknown line,unknown file,unknown line
27,112,unknown file,unknown line,unknown file,unknown line
27,113,unknown file,unknown line,unknown file,unknown line
27,123,unknown file,unknown line,unknown file,unknown line
27,126,unknown file,unknown line,unknown file,unknown line
27,129,unknown file,unknown line,unknown file,unknown line
27,132,unknown file,unknown line,unknown file,unknown line
27,135,unknown file,unknown line,unknown file,unknown line
27,138,unknown file,unknown line,unknown file,unknown line
27,141,unknown file,unknown line,unknown file,unknown line
27,144,unknown file,unknown line,unknown file,unknown line
27,147,unknown file,unknown line,unknown file,unknown line
27,150,unknown file,unknown line,unknown file,unknown line
27,151,unknown file,unknown line,unknown file,unknown line
28,28,unknown file,unknown line,unknown file,unknown line
28,66,unknown file,unknown line,unknown file,unknown line
28,104,unknown file,unknown line,unknown file,unknown line
28,142,unknown file,unknown line,unknown file,unknown line
29,29,unknown file,unknown line,unknown file,unknown line
29,67,unknown file,unknown line,unknown file,unknown line
29,105,unknown file,unknown line,unknown file,unknown line
29,143,unknown file,unknown line,unknown file,unknown line
30,9,unknown file,unknown line,unknown file,unknown line
30,12,unknown file,unknown line,unknown file,unknown line
30,15,unknown file,unknown line,unknown file,unknown line
30,18,unknown file,unknown line,unknown file,unknown line
30,21,unknown file,unknown line,unknown file,unknown line
30,24,unknown file,unknown line,unknown file,unknown line
30,27,unknown file,unknown line,unknown file,unknown line
30,30,unknown file,unknown line,unknown file,unknown line
30,33,unknown file,unknown line,unknown file,unknown line
30,36,unknown file,unknown line,unknown file,unknown line
30,37,unknown file,unknown line,unknown file,unknown line
30,47,unknown file,unknown line,unknown file,unknown line
30,50,unknown file,unknown line,unknown file,unknown line
30,53,unknown file,unknown line,unknown file,unknown line
30,56,unknown file,unknown line,unknown file,unknown line
30,59,unknown file,unknown line,unknown file,unknown line
30,62,unknown file,unknown line,unknown file,unknown line
30,65,unknown file,unknown line,unknown file,unknown line
30,68,unknown file,unknown line,unknown file,unknown line
30,71,unknown file,unknown line,unknown file,unknown line
30,74,unknown file,unknown line,unknown file,unknown line
30,75,unknown file,unknown line,unknown file,unknown line
30,85,unknown file,unknown line,unknown file,unknown line
30,88,unknown file,unknown line,unknown file,unknown line
30,91,unknown file,unknown line,unknown file,unknown line
30,94,unknown file,unknown line,unknown file,unknown line
30,97,unknown file,unknown line,unknown file,unknown line
30,100,unknown file,unknown line,unknown file,unknown line
30,103,unknown file,unknown line,unknown file,unknown line
30,106,unknown file,unknown line,unknown file,unknown line
30,109,unknown file,unknown line,unknown file,unknown line
30,112,unknown file,unknown line,unknown file,unknown line
30,113,unknown file,unknown line,unknown file,unknown line
30,123,unknown file,unknown line,unknown file,unknown line
30,126,unknown file,unknown line,unknown file,unknown line
30,129,unknown file,unknown line,unknown file,unknown line
30,132,unknown file,unknown line,unknown file,unknown line
30,135,unknown file,unknown line,unknown file,unknown line
30,138,unknown file,unknown line,unknown file,unknown line
30,141,unknown file,unknown line,unknown file,unknown line
30,144,unknown file,unknown line,unknown file,unknown line
30,147,unknown file,unknown line,unknown file,unknown line
30,150,unknown file,unknown line,unknown file,unknown line
30,151,unknown file,unknown line,unknown file,unknown line
31,31,unknown file,unknown line,unknown file,unknown line
31,69,unknown file,unknown line,unknown file,unknown line
31,107,unknown file,unknown line,unknown file,unknown line
31,145,unknown file,unknown line,unknown file,unknown line
32,32,unknown file,unknown line,unknown file,unknown line
32,70,unknown file,unknown line,unknown file,unknown line
32,108,unknown file,unknown line,unknown file,unknown line
32,146,unknown file,unknown line,unknown file,unknown line
33,9,unknown file,unknown line,unknown file,unknown line
